Supplier Name,Supplier Details,Supplier Email,Supplier Telephone,Supplier Contact Name
AGILE SOLUTIONS (GB) LTD,"Agile Solutions is a specialist consultancy focused on helping our clients harness value from data. We have over 16 years of experience designing and delivering data-centric solutions, including IPaaS, data quality, MDM, open source technologies and DevOps practices.",gcloud@agilesolutions.co.uk,0141 332 9785,Henrietta Malpass
AGILE WORKFORCE SERVICES LIMITED,"Agile Workforce Services provide a range of workforce solutions to NHS Trusts  including bank, collaborative bank, agency and direct engagement. With 25 years' experience providing medical staffing solutions, our implementation team help clients maximise workforce efficiencies -  compliantly and securely - through our market leading technology.",contracts@agile-workforce.co.uk,01756860095,Tracy Ward
Agile World Associates,"The rise of 'being digital' has created an ever changing market rendering many traditional project approaches ineffective.  

We enable organisations to make joined decisions in business and technology for tomorrows digital world. Tailoring to our client’s context, we deliver results collaboratively, adopting a true ‘one team’ approach with full transparency.",sheetal@agileworld.co.uk,07971825007,Sheetal Thaker
Agilicist,"Agilicist offer a new breed of agile programme management with an industry leading scaled agile portfolio platform and consultancy/training from a team that has real experience across most sectors.

Our key strength and passion is true Business Agility and we constantly evaluate, learn and improve.",simon.maurer@agilicist.com,07971562833,Simon Maurer
Agilient International Ltd,"Agilient provides expert advice, solutions and support through the rapid configuration and deployment of MooD  solutions on Cloud hosting environments. Our agile through-life managed support service ensures our solutions remain current and relevant and continue to drive value through the realisation of benefits.",alan.payne@agilient-international.com,+44 (0)7714 258439,Alan Payne
Agilisys Ltd,"Agilisys, an employee-owned organisation working in partnership with our clients to deliver success through innovation – transforming services that make a difference to millions of citizens.

Our mix of consultancy, IT, business services, and market-leading citizen-centric platforms mean we can partner with clients to help solve problems they face.",info@agilisys.co.uk,07702 367779,Darren London
AGILITY IS LTD,,gcloud@agilityis.uk,01133229264,Martin Law
Agility Management Solutions Limited,"Agility Management Solutions Limited is one of the leading organisation to provide solutions related with programme or project management, Integration and Software development and delivery by using innovative technologies and methodologies.",nikhilrc2009@gmail.com,07851148866,Nikhil Chavan
Agiloft Inc,"Agiloft, the global leader in contract lifecycle management (CLM) software, delivers more efficient contract operations, improved contracting experiences, while reducing risk. As the core system of commercial record, Agiloft’s software unlocks contract analytics for legal and procurement departments. Agiloft’s open, no-code, cloud platform ensures rapid deployment and is fully extensible.",gcloud@agiloft.com,1-650-587-8615,Jim Leason
Agiltima,Digital agile delivery consultancy specialising in quality assurance and software testing.,enquiries@agiltima.com,07411044660,Jason Blagrove
AGITAL LIMITED,,info@agital.co.uk,07505001804,Suhail Khan
Agrimetrics,"Agrimetrics is one of the Agri-Tech Centres of Agricultural Innovation, funded by Innovate UK. Our vision is of a sustainable and resilient agrifood sector, powered by data. Our mission is to transform the agrifood sector through a thriving data marketplace where data can be easily shared, monitized and accessed.",sales@agrimetrics.co.uk,079561 90873,Jeremy Thomas
AG TECHNOLOGY SOLUTIONS LTD,,enquiries@agtechsolutions.io,+447413369026,Antonios Makrodimitras
AHEAD BUSINESS CONSULTING LIMITED,,neil.bradbrook@abc.business,0333 4444 123,Neil Bradbrook
AHE Partnership,"AHE Partnership [an AXELOS Consulting Partner] do not re-invent wheels. Our focus and passion is providing PMO services specifically in Border Control, Immigration, Law Enforcement & Criminal Justice: planning management, planning control; planning delivery
design, start-up, re-energise, restructure and improve PMO capability. Concentrating on governance, scope management, communication, centralised information.",Admin@ahe-pmo.uk,not available,Deb Hopkins-Hurt
AHLC Solutions Ltd.,"With extensive experience in both Public and Private sectors, AHLC Solutions exists to support organisations to solve digital problems through business change, troubleshooting, Agile software development, project management, solution procurement, implementation, support and Software as a Service. Our years of experience enables us to create the best outcome for you.",Andy.williams@ahlcsolutions.com,07957967270,Andrew Williams
AI Cloud Services,"At CH Futures Ltd we provide technology solutions which exploit the technologies of Artificial Intelligence and Machine Learning.
We help customers both understand the technologies and elaborate 'business moments' . That is, we help them create new business opportunities and move into new segments to exploit AI and ML.",andy@chfutures.ltd,07973302659,CH Futures Ltd
AI Digital Ltd,"AI Digital Limited are a specialist business dedicated to helping organisations achieve excellence in Digital Transformation and Project/Service Management, providing tailored services to meet our client's specific and unique needs. 

Our range of services and solutions are designed to help organisations facilitate change and achieve their vision, whilst optimising performance.",adam@aidigital.co.uk,07941340534,Adam Cowen
Aiimi Ltd,"Using our software and services, create, store, share and get insights from the combined knowledge of your organisation. We take time to understand our customers’ long-term objectives to ensure everything we do directly contributes to their ambition.",meustace@aiimi.com,+447919330081,Matt Eustace
AIM Computing Ltd,"AIM provide consultancy services and highly skilled and experienced digital talent consultants such as digital programme managers, digital delivery managers, scrum masters, technical architects, service designers, agile business analysts, manual and automation testers, cloud infrastructure engineers, DevOps engineers and software developers.",eranstern@aimcomputing.co.uk,07930534522,Eran Stern
AIMediaComms,"Vuelio is an intuitive software & intelligence platform, used by over 450 public sector (and 3,000 private sector) organisations. We help you to manage media monitoring, coverage analysis, journalist contact information, press enquiries, lines-to-take, news distribution, publishing, stakeholder engagement, political monitoring and contacts - all in one place.",tenders@vuelio.com,0203 426 4071,Oliver Grant
